Item,Unit Price,Quantity Used,Quantity Purchased,Total Price,Source,Notes
Seeed Studio XIAO ESP32-C3,$9.90,1,1,$9.90,https://www.amazon.com/dp/B0B94JZ2YF?lv=shuf&hvlocphy=97766&linkCode=df0&hvnetw=o&hvadid=80195839596273&hvbmt=be&hvdev=c&hvocijid=11735809307987410767-B0DRNSV5CS-&hvqmt=e&hvexpln=0&tag=bingshoppinga-20&hvtargid=pla-4583795321231844&channelId=69&ref_=asc_df_B0DRNSV5CS&plpRedirect=mhFallback&th=1,purchased with other items off Amazon; free shipping
HS96L03W2C03,$2.24,1,1,$2.24,https://www.lcsc.com/product-detail/C5248080.html?spm=wm.gwc.xh.0.cbm___wm.fly.ssl.gwc&lcsc_vid=EwNbXlIEQQMIXlYDTlYPAQdXEVhXXlMARARfUwdRRwAxVlNeRVFeVlBUTlBeXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVlWX1BfRE8GEwkK,shipping not included
INGHAi GSPK2307P-8R1W,$0.82,1,1,$0.82,https://www.lcsc.com/product-detail/Speakers_INGHAi-GSPK2307P-8R1W_C530531.html,shipping not included
PAM8302AAYCR,$9.37,1,1,$9.37,https://www.digikey.com/en/products/detail/diodes-incorporated/PAM8302AAYCR/4033367?gclid=b27fbcf56e80137c3cb2d6c241cebef9&gclsrc=3p.ds&msclkid=b27fbcf56e80137c3cb2d6c241cebef9,shipping included
BZCN TSC016A04518A,$0.04,4,50,$0.54,https://www.lcsc.com/product-detail/C2888493.html?s_z=h_q_C2888493&globalKeyword=C2888493,shipping not included
UNIT 502030 D9 - 250mAh 3.7V 0.93Wh,$8.99,1,1,$8.99,https://www.amazon.com/dp/B08FD3V6TF?lv=shuf&channelId=520&plpRedirect=mhFallback,shipping not included
TAMAGOTCHI PCB,$2.00,1,5,$2.00,https://cart.jlcpcb.com/shopcart/cart/,first PCB is $2.00; no shipping fee or taxes (Global standard line)
M3 x 8mm Pozi Pan Head Screws,$0.09,2,20,$0.99,https://www.aliexpress.us/item/3256807955659503.html?spm=a2g0o.productlist.main.1.570fYl0xYl0xWq&algo_pvid=98fb9b49-47a3-4173-a920-562ea71ffb80&algo_exp_id=98fb9b49-47a3-4173-a920-562ea71ffb80-0&pdp_ext_f=%7B%22order%22%3A%226024%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.12%210.92%21%21%211.12%210.92%21%40210337c117820041459558192e5e83%2112000043965910886%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aaab0cec8%3Bm03_new_user%3A-29895&curPageLogUid=W6HOdQGM0dw9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008141974255%7C_p_origin_prod%3A,not 1:1 to the attached CAD; but can still be used; shipping not included
M2 x 8mm Pozi Pan Head Screws,$0.20,4,20,$0.99,https://www.aliexpress.us/item/3256807955659503.html?spm=a2g0o.productlist.main.1.570fYl0xYl0xWq&algo_pvid=98fb9b49-47a3-4173-a920-562ea71ffb80&algo_exp_id=98fb9b49-47a3-4173-a920-562ea71ffb80-0&pdp_ext_f=%7B%22order%22%3A%226024%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.12%210.92%21%21%211.12%210.92%21%40210337c117820041459558192e5e83%2112000043965910886%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aaab0cec8%3Bm03_new_user%3A-29895&curPageLogUid=W6HOdQGM0dw9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008141974255%7C_p_origin_prod%3A,not 1:1 to the attached CAD; but can still be used; shipping not included
AMAZON SHIPPING & TAXES,,,,$9.29,,ONLY shipping fees and taxes for all products purchased through Amazon
LCSC SHIPPING & TAXES,,,,$10.65,,ONLY shipping fees and taxes for all products purchased through LCSC
ALIEXPRESS SHIPPING $ TAXES,,,,$4.09,,ONLY shipping fees and taxes for all products purchased through AliExpress
TOTAL,,,,$53.80,,
